Year,HomeTeam,AwayTeam,Diff
5,0,1,2
5,2,3,0
5,4,5,3
5,6,7,0
5,8,9,0
5,10,11,0
5,12,13,0
5,14,15,0
5,16,17,1
5,18,19,-3
5,13,16,-1
5,5,12,1
5,11,18,-2
5,7,4,2
5,15,6,1
5,17,10,1
5,9,14,-1
5,1,2,1
5,19,8,2
5,3,0,0
5,13,6,1
5,11,16,-2
5,19,2,3
5,5,0,3
5,7,8,-2
5,9,10,0
5,1,4,-1
5,3,14,0
5,0,9,2
5,2,17,0
5,16,1,1
5,18,3,1
5,6,5,4
5,8,11,1
5,10,19,-3
5,14,13,1
5,4,15,1
5,17,18,0
5,12,7,1
5,0,16,0
5,4,17,0
5,7,19,-3
5,15,3,3
5,6,18,-1
5,8,13,1
5,9,2,3
5,12,11,2
5,14,10,0
5,5,1,0
5,19,4,0
5,13,5,0
5,2,12,1
5,11,6,-1
5,10,0,0
5,3,7,0
5,16,14,0
5,18,8,1
5,1,9,-1
5,17,15,1
5,0,11,0
5,4,13,0
5,7,1,1
5,15,10,3
5,6,19,-1
5,8,16,-1
5,9,3,2
5,14,17,-1
5,12,18,-1
5,5,2,1
5,19,5,4
5,2,0,0
5,18,14,-1
5,10,12,0
5,1,6,0
5,3,4,1
5,13,9,0
5,16,15,1
5,17,8,0
5,11,7,2
5,19,0,2
5,13,17,0
5,2,8,-4
5,4,11,1
5,18,1,1
5,7,15,-2
5,6,16,1
5,3,10,0
5,5,9,0
5,12,14,1
5,0,7,2
5,16,2,4
5,11,3,3
5,15,5,2
5,10,18,-1
5,14,4,-1
5,17,19,2
5,8,12,0
5,9,6,1
5,1,13,0
5,19,1,0
